Year,Flow,Start Time,Crew,Distance,Clock,T,Time,CheckPoint,Speed,SplitTimePoint,SplitSpeed,Section,SpeedIncrease
1984,28.1,7am,CornishViljoen28.1,22.5,03:11:00,3.18,3.18,Froxfield,7.07,4 Old Windsor A,6.87,,
2011,23,Sun 07:19:00,LawlerBrown23,22.5,00:00:00,0,,Froxfield,,4 Old Windsor A,,,
2011,23,Sat 18:04:50,KingHendron23,22.5,00:00:00,0,,Froxfield,,4 Old Windsor A,6.72,,
2017,20,15:14:57,KingButler20,22.5,00:00:00,0,,Froxfield,,4 Old Windsor A,6.71,,
2000,229,05:51,BakerCapps229,25.3,03:32:00,3.53,3.53,Hungerford,7.16,5 Teddington A,9.2,,
1975,205,Night Run,GreenhamPerrett205,25.3,04:11:00,4.18,4.18,Hungerford,6.05,5 Teddington A,7.64,,
1979,187,7am,CornishGreenham187,25.3,03:31:00,3.52,3.52,Hungerford,7.19,5 Teddington A,8.94,,
1980,158,7.17am,CornishGreenham158,25.3,03:31:00,3.52,3.52,Hungerford,7.19,5 Teddington A,7.97,,
1994,155,7.08am,PhillipsLewis155,25.3,00:00:00,0,,Hungerford,,5 Teddington A,8.63,,
1989,99.1,,WellsWells99.1,25.3,00:00:00,0,,Hungerford,,5 Teddington A,8.51,,
1978,90.5,Night Run,CornishGreenham90.5,25.3,03:36:00,3.6,3.6,Hungerford,7.03,5 Teddington A,7.78,,
1977,80,15:40,GreenawayFowler80,25.3,00:00:00,0,,Hungerford,,5 Teddington A,1.41,,
1981,70.2,14:22:08,GreenhamBelcher70.2,25.3,03:43:00,3.72,3.72,Hungerford,6.81,5 Teddington A,7.37,,
1984,28.1,7am,CornishViljoen28.1,25.3,03:36:00,3.6,3.6,Hungerford,7.03,5 Teddington A,7.28,,
2011,23,Sun 07:19:00,LawlerBrown23,25.3,03:16:00,3.27,3.27,Hungerford,7.74,5 Teddington A,,,
2011,23,Sat 18:04:50,KingHendron23,25.3,03:41:10,3.69,3.69,Hungerford,6.86,5 Teddington A,6.79,,
2017,20,15:14:57,KingButler20,25.3,03:25:31,3.43,3.43,Hungerford,7.39,5 Teddington A,6.94,,
2000,229,05:51,BakerCapps229,26.5,03:43:00,3.72,3.72,Dun Mill,7.13,6 Westminster A,9.53,,
1975,205,Night Run,GreenhamPerrett205,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,8.36,,
1979,187,7am,CornishGreenham187,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,9.11,,
1980,158,7.17am,CornishGreenham158,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,8.87,,
1994,155,7.08am,PhillipsLewis155,26.5,03:39:00,3.65,3.65,Dun Mill,7.26,6 Westminster A,9.53,,
1989,99.1,,WellsWells99.1,26.5,03:30:00,3.5,3.5,Dun Mill,7.57,6 Westminster A,8.95,,
1978,90.5,Night Run,CornishGreenham90.5,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,8.64,,
1977,80,15:40,GreenawayFowler80,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,8.5,,
1981,70.2,14:22:08,GreenhamBelcher70.2,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,8.57,,
1984,28.1,7am,CornishViljoen28.1,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,7.91,,
2011,23,Sun 07:19:00,LawlerBrown23,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,,,
2011,23,Sat 18:04:50,KingHendron23,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,7.54,,
2017,20,15:14:57,KingButler20,26.5,00:00:00,0,,Dun Mill,,6 Westminster A,8.31,,
